acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
-39.040,468.480,624.640
-35.136,468.480,640.256
-58.560,480.192,612.928
-42.944,503.616,609.024
-31.232,495.808,644.160
-58.560,445.056,597.312
-74.176,468.480,612.928
-39.040,460.672,605.120
-66.368,460.672,597.312
-46.848,460.672,585.600
-46.848,464.576,585.600
-54.656,464.576,573.888
-58.560,456.768,601.216
-66.368,448.960,562.176
-70.272,480.192,562.176
-85.888,472.384,550.464
-85.888,452.864,566.080
-78.080,441.152,550.464
-81.984,464.576,538.752
-93.696,460.672,542.656
-93.696,425.536,534.848
-113.216,441.152,558.272
-109.312,456.768,538.752
-105.408,448.960,550.464
-136.640,464.576,546.560
-105.408,437.248,530.944
-97.600,452.864,550.464
-132.736,472.384,534.848
-117.120,452.864,577.792
-113.216,460.672,538.752
-97.600,448.960,573.888
-124.928,456.768,566.080
-132.736,448.960,566.080
-105.408,437.248,566.080
-105.408,445.056,566.080
-132.736,445.056,585.600
-113.216,445.056,593.408
-124.928,441.152,589.504
-105.408,472.384,581.696
-140.544,441.152,573.888
-152.256,460.672,616.832
-124.928,460.672,605.120
-152.256,441.152,609.024
-121.024,456.768,605.120
-113.216,456.768,624.640
-136.640,464.576,644.160
-124.928,460.672,636.352
-124.928,456.768,636.352
-121.024,468.480,651.968
-136.640,464.576,648.064
-105.408,460.672,616.832
-97.600,425.536,628.544
-81.984,437.248,640.256
-101.504,464.576,632.448
-93.696,452.864,644.160
-85.888,445.056,651.968
-105.408,448.960,636.352
-113.216,445.056,640.256
-109.312,417.728,624.640
-101.504,429.440,624.640
-81.984,421.632,632.448
-74.176,433.344,640.256
-89.792,452.864,620.736
-85.888,433.344,636.352
-81.984,417.728,632.448
-105.408,445.056,609.024
-70.272,429.440,628.544
-85.888,445.056,632.448
-74.176,425.536,620.736
-46.848,425.536,644.160
-39.040,409.920,632.448
-39.040,425.536,632.448
-42.944,421.632,644.160
-58.560,421.632,616.832
-46.848,437.248,624.640
-50.752,425.536,636.352
-50.752,417.728,651.968
-35.136,386.496,624.640
-46.848,398.208,624.640
-54.656,402.112,636.352
-46.848,417.728,644.160
-50.752,390.400,636.352
-58.560,433.344,651.968
-50.752,402.112,644.160
-62.464,406.016,648.064
-58.560,429.440,640.256
-97.600,402.112,667.584
-85.888,378.688,651.968
-97.600,421.632,651.968
-78.080,425.536,667.584
-85.888,429.440,679.296
-62.464,409.920,691.008
-97.600,417.728,694.912
-70.272,406.016,710.528
-101.504,425.536,730.048
-97.600,441.152,733.952
-101.504,460.672,737.856
-109.312,445.056,776.896
-113.216,421.632,765.184
-124.928,433.344,780.800
-113.216,460.672,808.128
-97.600,445.056,815.936
-109.312,456.768,815.936
-97.600,476.288,839.360
-113.216,480.192,843.264
-117.120,468.480,858.880
-101.504,484.096,851.072
-81.984,484.096,866.688
-93.696,491.904,882.304
-117.120,484.096,870.592
-78.080,488.000,882.304
-89.792,499.712,882.304
-109.312,491.904,886.208
-105.408,499.712,894.016
-128.832,523.136,866.688
-101.504,480.192,901.824
-109.312,507.520,894.016
-113.216,534.848,897.920
-70.272,546.560,909.632
-109.312,554.368,921.344
-101.504,542.656,929.152
-89.792,546.560,929.152
-101.504,542.656,936.960
-136.640,554.368,956.480
-89.792,573.888,960.384
-109.312,550.464,964.288
-81.984,534.848,976.000
-101.504,554.368,1011.136
-66.368,566.080,968.192
-93.696,530.944,991.616
-93.696,562.176,1011.136
-101.504,530.944,1081.408
-97.600,589.504,1065.792
-74.176,581.696,1077.504
-85.888,589.504,1085.312
-97.600,593.408,1104.832
-85.888,609.024,1128.256
-101.504,601.216,1151.680
-105.408,589.504,1136.064
-81.984,612.928,1132.160
-58.560,581.696,1147.776
-89.792,581.696,1175.104
-74.176,593.408,1182.912
-54.656,605.120,1190.720
-46.848,581.696,1190.720
-42.944,581.696,1175.104
-58.560,577.792,1206.336
-50.752,597.312,1218.048
-54.656,573.888,1206.336
-66.368,577.792,1206.336
-62.464,585.600,1210.240
-97.600,573.888,1229.760
-93.696,585.600,1225.856
-78.080,577.792,1206.336
-70.272,605.120,1210.240
-97.600,624.640,1221.952
-124.928,624.640,1202.432
-70.272,581.696,1198.528
-81.984,554.368,1159.488
-70.272,577.792,1182.912
-117.120,566.080,1202.432
-128.832,519.232,1179.008
-132.736,569.984,1218.048
-113.216,530.944,1206.336
-109.312,546.560,1190.720
-85.888,554.368,1179.008
-85.888,534.848,1175.104
-89.792,542.656,1151.680
-85.888,558.272,1143.872
-105.408,534.848,1147.776
-109.312,538.752,1143.872
-121.024,523.136,1159.488
-124.928,515.328,1136.064
-140.544,527.040,1116.544
-167.872,491.904,1175.104
-167.872,503.616,1108.736
-171.776,503.616,1097.024
-156.160,491.904,1093.120
-160.064,499.712,1100.928
-121.024,507.520,1100.928
-132.736,534.848,1139.968
-140.544,523.136,1120.448
-140.544,523.136,1128.256
-124.928,515.328,1124.352
-117.120,519.232,1132.160
-148.352,527.040,1108.736
-160.064,519.232,1112.640
-144.448,530.944,1132.160
-160.064,527.040,1112.640
-128.832,511.424,1108.736
-152.256,523.136,1124.352
-140.544,495.808,1124.352
-128.832,515.328,1085.312
-117.120,503.616,1093.120
-93.696,511.424,1073.600
-101.504,476.288,1077.504
-113.216,476.288,1042.368
-97.600,472.384,1042.368
-105.408,495.808,1026.752
-93.696,464.576,999.424
-89.792,472.384,991.616
-109.312,480.192,979.904
-70.272,448.960,940.864
-105.408,468.480,964.288
-81.984,468.480,952.576
-74.176,452.864,909.632
-62.464,433.344,878.400
-66.368,429.440,886.208
-50.752,425.536,858.880
-62.464,409.920,866.688
-46.848,390.400,851.072
-27.328,425.536,835.456
-46.848,406.016,812.032
-35.136,409.920,796.416
